,region,migration
28,Ukraine,212386.92307692306
30,Vinnytska,8683.076923076924
31,Volynska,5517.307692307692
32,Dnipropetrovska,14073.0
33,Donetska,9322.846153846154
34,Zhytomyrska,8279.0
35,Zakarpatska,3031.230769230769
36,Zaporizka,7114.153846153846
37,Ivano-Frankivska,6285.923076923077
38,Kyivska,12748.538461538461
39,Kirovohradska,5636.923076923077
40,Luhanska,4154.153846153846
41,Lvivska,12636.846153846154
42,Mykolaivska,5481.153846153846
43,Odeska,11349.76923076923
44,Poltavska,9241.076923076924
45,Rivnenska,7805.0
46,Sumska,7035.2307692307695
47,Ternopilska,5616.0
48,Kharkivska,17817.0
49,Khersonska,5064.846153846154
50,Khmelnytska,7876.615384615385
51,Cherkaska,7384.846153846154
52,Chernivetska,3461.846153846154
53,Chernihivska,5879.692307692308
54,Kyiv,20890.846153846152
